DEVICEID||','||CONTRACTID||','||'"'||DESCRIPTION||'"'||','||LATITUDE||','||LONGITUDE                                                                                                                     
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
398,400DN0010DER,"400NB - FINCH EAST",43.75165375,-79.52952512                                                                                                                                             
399,400DN0010DSR,"Finch E. - 400 S.",43.75284929,-79.53084454                                                                                                                                              
400,400DN0020DNR,"FINCH EAST - 400 N",43.75345971,-79.52980952                                                                                                                                             
401,400DN0020DSR,"Finch W. - 400s.",43.75437458,-79.53210039                                                                                                                                               
402,400DN0030DNR,"FINCH W - 400 N",43.75728712,-79.53084145                                                                                                                                                
403,400DN0030DWR,"400 SB - Finch",43.75705874,-79.53174676                                                                                                                                                 
404,400DN0040DER,"400 N. to Steeles",43.77560638,-79.53525355                                                                                                                                              
405,400DN0040DSR,"Steeles - 400 S.",43.7758572,-79.53714497                                                                                                                                                
406,400DN0050DER,"400 N - Hwy 7",43.78877061,-79.53718593                                                                                                                                                  
407,400DN0060DNR,"Hwy 7 - 400NB",43.79055002,-79.53780926                                                                                                                                                  
408,400DN0060DSR,"Hwy E. - 400 S.",43.78773431,-79.54012146                                                                                                                                                
409,400DN0070DNR,"Hwy 7 West - 400 NB",43.79339343,-79.53900844                                                                                                                                            
410,400DN0070DSR,"Hwy 7 W. - 400S.",43.79217499,-79.54100743                                                                                                                                               
411,400DN0080DER,"400NB - Langstaff",43.80327104,-79.54159244                                                                                                                                              
412,400DN0080DWR,"400SB - Hwy 7",43.79402547,-79.54084454                                                                                                                                                  
413,400DN0090DSR,"Langstaff E.- 400 S.",43.80822672,-79.54423669                                                                                                                                           
414,400DN0100DSR,"Langstaff W - 400 S.",43.81011284,-79.54472886                                                                                                                                           
415,400DN0010DNC,"North of 407",43.78573236,-79.53757401                                                                                                                                                   
416,400DN0020DNC,"At Hwy 7",43.78899886,-79.53751266                                                                                                                                                       
417,400DN0030DNC,"At Hwy 7",43.79284501,-79.53912459                                                                                                                                                       
418,400DN0040DNC,"North of Hwy 7",43.79697125,-79.5402121                                                                                                                                                  
419,400DN0050DNC,"South of Langstaff",43.80316528,-79.54174671                                                                                                                                             
420,400DN0010DNE,"North of 407",43.78594179,-79.53787415                                                                                                                                                   
421,400DN0020DNE,"At hwy 7",43.7918497,-79.53937175                                                                                                                                                        
422,400DN0030DNE,"North of Hwy 7",43.79680555,-79.54049567                                                                                                                                                 
423,400DN0040DNE,"South of Langstaff",43.80352681,-79.54210859                                                                                                                                             
424,400DN0010DNS,"North of Hwy 401",43.72127932,-79.52213367                                                                                                                                               
425,400DN0020DNS,"South of Sheppard",43.7274465,-79.52407159                                                                                                                                               
426,400DN0030DNS,"At Sheppard",43.73351689,-79.52551505                                                                                                                                                    
427,400DN0040DNS,"North of Sheppard",43.73868207,-79.52673623                                                                                                                                              
428,400DN0050DNS,"South of Finch",43.74610671,-79.52847797                                                                                                                                                 
429,400DN0060DNS,"At Finch",43.75314279,-79.53017139                                                                                                                                                       
430,400DN0070DNS,"North of Finch",43.75858973,-79.53145758                                                                                                                                                 
431,400DN0080DNS,"South of 407",43.76471516,-79.53291595                                                                                                                                                   
432,400DN0090DNS,"At Steeles",43.77145484,-79.53452883                                                                                                                                                     
433,400DN0100DNS,"North of Steeles",43.7757128,-79.53552097                                                                                                                                                
434,400DN0110DNS,"North of Steeles/CN Rail",43.77977699,-79.53644076                                                                                                                                       
435,400DN0120DNS,"At Langstaff",43.8106779,-79.54380137                                                                                                                                                    
436,400DN0010DSC,"N.of 407",43.78506675,-79.53831368                                                                                                                                                       
437,400DN0020DSC,"S. of hwy 7",43.78775282,-79.53994547                                                                                                                                                    
438,400DN0030DSC,"At hwy 7",43.79353702,-79.5404296                                                                                                                                                        
439,400DN0040DSC,"N. of Hwy 7",43.79647928,-79.54113282                                                                                                                                                    
440,400DN0050DSC,"S. of Langstaff",43.80333,-79.54266974                                                                                                                                                   
441,400DN0060DSC,"At Langstaff",43.81079163,-79.54442616                                                                                                                                                   
442,400DN0010DSE,"N.of 407",43.78528226,-79.53815078                                                                                                                                                       
443,400DN0020DSE,"At hwy 7",43.79196171,-79.53965392                                                                                                                                                       
444,400DN0030DSE,"N. of Hwy 7",43.79676777,-79.5408471                                                                                                                                                     
445,400DN0040DSE,"S. of Langstaff",43.80313847,-79.54233672                                                                                                                                                
446,400DN0050DSE,"At Langstaff",43.81063673,-79.54414599                                                                                                                                                   
447,400DN0005DSS,"S. of 401 Exit",43.72053137,-79.52223983                                                                                                                                                 
448,400DN0010DSS,"N. of 401",43.72191184,-79.52290066                                                                                                                                                      
449,400DN0020DSS,"S. of Sheppard",43.72741198,-79.52445208                                                                                                                                                 
450,400DN0030DSS,"S. of Sheppard",43.73348985,-79.52589748                                                                                                                                                 
451,400DN0040DSS,"N. of Sheppard",43.73862541,-79.52711596                                                                                                                                                 
452,400DN0050DSS,"S. of Finch",43.746185,-79.52891037                                                                                                                                                      
453,400DN0058DSS,"S. of Finch",43.75210556,-79.53029722                                                                                                                                                    
454,400DN0059DSS,"S. of Finch",43.75255278,-79.53038056                                                                                                                                                    
455,400DN0060DSS,"S. of Finch",43.75298558,-79.5304999                                                                                                                                                     
456,400DN0061DSS,"SOUTH OF FINCH",43.75343611,-79.53058056                                                                                                                                                 
457,400DN0070DSS,"At Finch",43.75583382,-79.53114267                                                                                                                                                       
458,400DN0080DSS,"N. of Finch",43.76079954,-79.53235517                                                                                                                                                    
459,400DN0090DSS,"S. of Steeles",43.76541063,-79.5334505                                                                                                                                                   
460,400DN0100DSS,"S. of Steeles",43.77163041,-79.53486672                                                                                                                                                  
461,400DN0110DSS,"At Steeles",43.77568454,-79.53582856                                                                                                                                                     
462,400DN0120DSS,"S. of 407",43.77974263,-79.5368487                                                                                                                                                       
463,401DE0590DEC,"BROCK ROAD",43.83587081,-79.07643847                                                                                                                                                     
464,401DE0580DEC,"E. OF LIVERPOOL",43.83395679,-79.08052306                                                                                                                                                
465,401DE0570DEC,"LIVERPOOL ROAD",43.82971795,-79.08972618                                                                                                                                                 
466,401DE0560DEC,"CN RAIL",43.82605471,-79.09767126                                                                                                                                                        
467,401DE0550DEC,"E. OF WHITES",43.82341146,-79.10329673                                                                                                                                                   
468,401DE0540DEC,"E. OF WHITES",43.81802684,-79.11178789                                                                                                                                                   
469,401DE0530DEC,"WHITES ROAD",43.81400057,-79.11803946                                                                                                                                                    
470,401DE0520DEC,"ROUGHMOUNT",43.80943569,-79.12537286                                                                                                                                                     
471,401DE0510DEC,"W. OF ROUGHMOUNT",43.80500168,-79.13284209                                                                                                                                               
472,401DE0500DEC,"E. OF PORT UNION",43.80118474,-79.13866703                                                                                                                                               
473,401DE0490DEC,"PORT UNION",43.79691724,-79.14510534                                                                                                                                                     
474,401DE0480DEC,"KINGSTON ROAD",43.79528149,-79.15105366                                                                                                                                                  
475,401DE0470DEC,"KINGSTON ROAD",43.79562327,-79.15539418                                                                                                                                                  
476,401DE0460DEC,"E. OF MEADOWVALE",43.79820879,-79.16317033                                                                                                                                               
477,401DE0450DEC,"AT MEADOWVALE",43.79960358,-79.16948368                                                                                                                                                  
478,401DE0440DEC,"W. OF MEADOWVALE",43.79905659,-79.17685839                                                                                                                                               
479,401DE0430DEC,"E. OF COLLINS",43.79806988,-79.18366529                                                                                                                                                  
480,401DE0420DEC,"AT MORNINGSIDE",43.79689603,-79.19143902                                                                                                                                                 
481,401DE0410DEC,"E. OF NEILSON",43.79536909,-79.20229966                                                                                                                                                  
482,401DE0400DEC,"E. OF NEILSON",43.79444869,-79.20860638                                                                                                                                                  
483,401DE0390DEC,"E. OF NEILSON",43.79352903,-79.21471884                                                                                                                                                  
484,401DE0380DEC,"AT NEILSON",43.79219094,-79.21882739                                                                                                                                                     
485,401DE0370DEC,"E. OF MARKHAM",43.78919093,-79.22472179                                                                                                                                                  
486,401DE0360DEC,"E. OF MARKHAM",43.7865437,-79.23111469                                                                                                                                                   
487,401DE0350DEC,"AT MARKHAM",43.78491029,-79.2364777                                                                                                                                                      
488,401DE0340DEC,"E. OF MCCOWAN",43.78346785,-79.24198654                                                                                                                                                  
489,401DE0330DEC,"E. OF MCCOWAN",43.78171364,-79.25003228                                                                                                                                                  
490,401DE0320DEC,"E. OF BRIMLEY",43.78042532,-79.25708475                                                                                                                                                  
491,401DE0310DEC,"E. OF MIDLAND",43.77833122,-79.26759703                                                                                                                                                  
492,401DE0300DEC,"E. OF KENNEDY",43.77671411,-79.27570406                                                                                                                                                  
493,401DE0290DEC,"W. OF KENNEDY",43.77434468,-79.28593377                                                                                                                                                  
494,401DE0280DEC,"E. OF BIRCHMOUNT",43.7725136,-79.29369341                                                                                                                                                
495,401DE0270DEC,"E of Warden",43.77047798,-79.3024505                                                                                                                                                     
496,401DE0260DEC,"E of Victoria Park",43.76849606,-79.31119429                                                                                                                                             
497,401DE0250DEC,"E of hwy 404/DVP",43.76799976,-79.32100479                                                                                                                                               
498,401DE0240DEC,"E of Hwy 404/DVP",43.76773178,-79.32827555                                                                                                                                               
499,401DE0230DEC,"E of Hwy 404/DVP",43.767331,-79.33384708                                                                                                                                                 
500,401DE0220DEC,"E of Don Mills",43.76683524,-79.34105831                                                                                                                                                 
501,401DE0210DEC,"E of Leslie",43.76653171,-79.348682                                                                                                                                                      
502,401DE0200DEC,"E of Leslie",43.76630551,-79.35628432                                                                                                                                                    
503,401DE0190DEC,"e of Bayview",43.76587045,-79.36590687                                                                                                                                                   
504,401DE0180DEC,"E of Bayview",43.76548472,-79.37308702                                                                                                                                                   
505,401DE0170DEC,"E of Bayview",43.76407409,-79.38187498                                                                                                                                                   
506,401DE0160DEC,"W of Bayview",43.762493,-79.38926333                                                                                                                                                     
507,401DE0150DEC,"E of Yonge",43.76165166,-79.39285022                                                                                                                                                     
508,401DE0140DEC,"E of Yonge",43.7591659,-79.39881614                                                                                                                                                      
509,401DE0130DEC,"AT YONGE",43.75351665,-79.40774343                                                                                                                                                       
510,401DE0120DEC,"W OF YONGE",43.74865499,-79.41479934                                                                                                                                                     
511,401DE0110DEC,"E OF AVENUE ROAD",43.74513897,-79.41834686                                                                                                                                               
512,401DE0100DEC,"W OF AVENUE ROAD",43.7409261,-79.42496992                                                                                                                                                
513,401DE0090DEC,"E OF BATHURST",43.73682963,-79.43182521                                                                                                                                                  
514,401DE0080DEC,"W OF BATHURST",43.73355489,-79.43739135                                                                                                                                                  
515,401DE0070DEC,"E OF ALLEN ROAD",43.73114156,-79.44143296                                                                                                                                                
